JOB_NAME;SALARY;POSTED_DATE_AT;DESCRIPTION;SOURCE_PICTURE
Nhân Viên Kế Toán;7 - 12 triệu;03/03/2024;"Thực hiện công việc liên quan đến nghiệp vụ kế toán Kiểm tra số liệu chi tiết và tổng hợp Lưu trữ chứng từ kế toán theo quy định Thời gian làm việc: + Thứ hai – Thứ 7; 7h30 – 12h00; 13h00 - 17h30 + Chủ Nhật, Tết và Giáng Sinh (24-25/12) nghỉ.";https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/296c76b049d8d3a5d433082de97f4cb1_5eb457aa87a65_1588877226.jpeg
Kế Toán Nội Bộ (Đi Làm Ngay);8 - 12 triệu;03/03/2024;Mô tả công việc • Thực hiện báo cáo tài chính, báo cáo phân tích tài chính và một số báo cáo khác • Tư vấn thuế • Xử lý hợp đồng • Chịu trách nhiệm về quản lý, sử dụng, lưu trữ tài liệu, chứng từ, sổ sách kế toán. • Theo dõi chấm công, tính lương nhân viên. • Theo dõi, tổng hợp, cập nhật số liệu các khoản phải thu, chi. • Theo dõi, đối chiếu công nợ. • Thực hiện công việc tăng giảm BHXH cho nhân viên tại công ty khi có phát sinh. • Định kỳ hàng tuần, tháng, quý hoặc đột xuất lập báo cáo và báo cáo lên cấp trên theo yêu cầu. • Thực hiện các công việc khác theo yêu cầu của cấp trên.;/img/vieclam24h_logo_customer.jpg
Kế Toán Công Nợ;10 - 15 triệu;27/02/2024;- Quản lý và theo dõi chặt chẽ công nợ phải thu của công ty sau khi ký hợp đồng, đọc kỹ các điều khoản hợp đồng, nẵm rõ các đợt thanh toán - Nắm bắt cụ thể tình hình tồn đọng của từng công trình, đảm bảo quản lý công việc hiệu quả. Phải nhiệt tình thúc đẩy các bên (nội bộ) để hoàn thành nốt các công việc tồn đọng - Gọi điện và thực hiện các cuộc gặp với khách hàng (nếu cần) để thúc đẩy quá trình thu tiền, đồng thời vẫn phải duy trì được mối quan hệ tốt đẹp với khách hàng.;https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/ce08b58cc59d3ad21256265e2b5c6332_5e61f0bab4ed2_1583476922.jpeg
Kế Toán Công Nợ;10 - 15 triệu;08/03/2024;· Tổng hợp, theo dõi liên hệ thu hồi công nợ khách hàng · Phối hợp các phòng ban trong công tác thu hồi công nợ tồn đọng · Hạch toán các nghiệp vụ liên quan doanh thu, công nợ và các nghiệp vụ kế toán phát sinh liên quan khác · Phối hợp phòng Hồ sơ kiểm tra hồ sơ thanh quyết thanh toán với khách hàng · Phát hành hóa đơn điện tử · Một số công việc phối hợp và hỗ trợ khác đối với các phòng ban · Công việc khác phát sinh có sự chỉ đạo của trưởng phòng, Ban lãnh đạo. · Tham gia họp giao ban, họp tồn đọng dự án liên quan công nợ thanh toán khách hàng hàng tuần Thời gian làm việc: - Từ thứ 2 đến thứ 6: từ 8h – 17h30 (nghỉ trưa từ 12h – 13h30) - Thứ 7: từ 8h – 12h00.;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/03/08/63ae87a549d6e588bcc7_170986615737.jpg
Kế Toán Tổng Hợp;12 - 17 triệu;05/03/2024;- Tập hợp chi phí tính giá thành sản phẩm, đơn hàng. - Theo dõi, phối hợp thực hiện các hợp đồng bán hàng/ mua hàng. - Theo dõi quản lý các tài khoản ngân hàng, thực hiện giao dịch với ngân hàng. - Theo dõi kiểm tra, kiểm soát các khoản thanh toán trước khi thực hiện. - Lập hồ sơ kê khai thuế hàng tháng, báo cáo tài chính theo quy định, hồ sơ quyết toán thuế năm, báo cáo tài chính năm theo quy định hiện hành. - Theo dõi và giám sát các hoạt động kế toán hàng ngày tại công ty: Tập hợp các đơn đặt hàng, tập hợp các khoản chi phí, cập nhật dữ liệu vào phần mềm kế toán. - Kiểm tra, đối chiếu số liệu, sổ sách thu – chi. Quản lý hệ thống chứng từ, sổ sách theo quy định, hạch toán chi tiết từng tài khoản. - Thực hiện các công việc khác theo sự phân công của Kế toán Trưởng.;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/26/z5194350242189_257e21cbf9225ed660fc96224010634e_170893802926.jpg
Kế Toán Tổng Hợp (Hà Nội);9 - 14 triệu;08/03/2024;- Lập các BCTC, BC quản trị, BC thống kê, BC thuế,…. định kỳ và làm việc với cơ quan chức năng. - Làm hồ sơ thanh tra quyết toán sổ sách kế toán với cơ quan thuế, thanh tra cục thuế. - Hạch toán thu nhập, chi phí, khấu hao, thuế GTGT và báo cáo thuế, lập quyết toán. - Kiểm tra, rà soát số liệu của Công ty. - Phân tích số liệu cung cấp cho Ban Giám Đốc để định hướng hiệu quả hơn. *Thời gian và địa điểm làm việc: - Thời gian làm việc: 8h – 12h & 13h- 17h, từ thứ 2 đến thứ 7 - Địa chỉ: Số 249 Khuất Duy Tiến - Quận Thanh Xuân - Hà Nội;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5b8e2d945ee57_1536044436.png
Kế Toán Tổng Hợp - Thuế;10 - 12 triệu;08/03/2024;- Lập hồ sơ thanh toán của các đơn hàng. - Kiểm tra, hạch toán các định khoản nghiệp vụ phát sinh. - Kiểm tra sự cân đối giữa số liệu kế toán chi tiết và tổng hợp - Kiểm tra số dư cuối kỳ có hợp lý và khớp đúng với các báo cáo chi tiết. - Hạch toán thu nhập, chi phí, khấu hao, TSCĐ, công nợ, nghiệp vụ khác, thuế GTGT, thuế TNCN, thuế TNDN. - Theo dõi công nợ phải thu, phải trả, tạm ứng, các vấn đề phát sinh liên quan đến công nợ lương, bảo hiểm. - In sổ chi tiết và tổng hợp khối văn phòng, tổng hợp theo công ty theo quy định - Lập báo cáo thuế, báo cáo quản trị của công ty theo từng quý, năm và các báo cáo giải trình chi tiết. - Tham gia phối hợp công tác kiểm tra thanh tra quyết toán, kiểm kê tại các đơn vị cơ sở khi được phân công.;https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2020/05/12/3757187_vieclam24h_1589251714.png
Nhân Viên Kế Toán Tổng Hợp - Long Biên Hà Nội (Đi Làm Ngay);10 - 15 triệu;16/02/2024;- Trực tiếp thực hiện các phần hành kế toán: hạch toán các bút toán định kỳ, phiếu kế toán tổng hợp, bút toán phân bổ, kết chuyển… - Kiểm tra, đối chiếu số liệu giữa các đơn vị nội bộ, giữa chi tiết và tổng hợp. - Quản lý tổng quát công nợ của toàn công ty thông qua kế toán công nợ. - Lập báo cáo tài chính các báo cáo giải trình chi tiết. - Hướng dẫn xử lý và hạch toán các nghiệp vụ kinh tế kế toán. - Kiểm tra và giám sát việc luân chuyển hàng hóa tồn kho, thời gian tồn kho tại từng kho thông qua Kế toán kho - Tham gia phối hợp công tác kiểm tra, kiểm kê TSCĐ - Giải trình số liệu và cung cấp hồ sơ, số liệu cho cơ quan thuế, kiểm toán, thanh tra theo yêu cầu. - Lập tờ khai thuế tháng/quý - Báo cáo quyết toán thuế cuối năm.;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/27/Logo Búa Thủy Lực Tùng Linh_170900214876.jpg
Kế Toán Tổng Hợp (Kim Kế Toán Trưởng);15 - 20 triệu;07/03/2024;- Chịu trách nhiệm và kiểm soát về hoạt động Tài chính Kế toán của Công ty - Quản lý toàn bộ hoạt động chuyên môn của Phòng kế toán - Thiết lập hệ thống báo cáo tài chính, báo cáo quản trị. - Quyết toán thuế, lập báo cáo thuế, báo cáo tài chính định kỳ theo quy định và các báo cáo giải trình chi tiết - Kiểm tra đối chiếu số liệu giữa các đơn vị nội bộ, dữ liệu chi tiết và tổng hợp. - Kiểm tra các định khoản các nghiệp vụ phát sinh - Kiểm tra sự cân đối giữa số liệu kế toán chi tiết và tổng hợp - Hạch toán thu nhập, chi phí, khấu hao,TSCĐ,công nợ, nghiệp vụ khác, thuế GTGT và báo cáo thuế khối văn phòng CT, lập quyết toán văn phòng cty. - Theo dõi công nợ khối văn phòng công ty, quản lý tổng quát công nợ toàn công ty. - Lập báo cáo tài chính theo từng quí, 6 tháng, năm và các báo cáo giải trình chi tiết. - Tham mưu cho Ban Giám đốc về hệ thống Quản lý Tài chính hiệu quả.;https://cdn1.vieclam24h.vn/company-logo-medium/122018/1581dd4b482ff9a974d5d993a0e4bda0.png
Kế Toán Trưởng;25 - 35 triệu;07/03/2024;- Tham mưu cho BGĐ, xây dựng và kiểm toán hệ thống Quản lý Tài chính - Kế toán phù hợp với các quy định của Pháp luật và đặc tính kinh doanh của Công ty - Chịu trách nhiệm về tính minh bạch, chuẩn xác của số liệu kế toán - Tổ chức triển khai và chỉ đạo, kiểm tra việc sử dụng, quản lý chi phí, tài sản, nguồn vốn Công ty - Tổ chức thực hiện quy trình, nghiệp vụ kế toán đáp ứng cho công tác kiểm toán hàng năm - Dự báo các nhu cầu tài chính để thiết lập nguồn vốn đáp ứng tốt cho nhu cầu cân đối tài chính phục vụ cho hoạt động kinh doanh của Công ty - Xây dựng sổ sách, chứng từ thu chi đúng chuẩn mực kế toán - Lập các báo cáo tài chính, báo cáo kết quả hoạt động kinh doanh,... cho Ban Giám đốc - Chịu trách nhiệm trước Pháp luật và Công ty về việc tổ chức thực hiện thu thập, ghi chép tổng hợp và hạch toán kế toán đối với toàn bộ hoạt động đầu tư kinh doanh của Công ty theo đúng quy định và chế độ tài chính, đảm bảo tính chính xác, trung thực kịp thời - Phối hợp các phòng ban tham mưu giúp lãnh đão Công ty quản lý, phân tích tài chính - Quyền hạn: + Quyền tham mưu : Đề xuất về nhân sự, về trang thiết bị phục vụ cho công việc, kế hoạch phát triển và đào tạo nhân sự, tham mưu các vấn đề khác thuộc chuyên môn cho CEO + Quyền chức năng : Được quyền tổ chức, phân công phân nhiệm, ủy thác công việc cho các nhân sự.;/img/vieclam24h_logo_customer.jpg
